exercise_id,name_es,name_en,category,body_region,exercise_family,primary_pattern,secondary_pattern,movement_angle_deg,muscle_map,region_bias,joint_actions,equipment_type,attachment,body_position,torso_angle_deg,chest_supported,back_supported,grip_orientation,grip_width,elbow_path,laterality,kinetic_chain,is_compound,rom_score,muscle_length_bias,resistance_profile,stability_demand,fatigue_systemic,fatigue_lower_back,fatigue_grip,skill_demand,variant_keys,notes
barbell_bench_press,Press Banca con Barra,Barbell Bench Press,strength,chest,bench_press,horizontal_push,,0,pectoralis_major:1.0|triceps_brachii:0.75|deltoid_anterior:0.60,pectoralis_major.sternal:1.0|pectoralis_major.clavicular:0.55,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,barbell,,supine,,false,true,pronated,medium,medium,bilateral,open,true,2,mid,0.5|1.0|0.7,3,4,1,2,3,grip_width|bar_path|pause,
dumbbell_bench_press,Press Banca con Mancuernas,Dumbbell Bench Press,strength,chest,bench_press,horizontal_push,,0,pectoralis_major:1.0|triceps_brachii:0.75|deltoid_anterior:0.60,pectoralis_major.sternal:1.0|pectoralis_major.clavicular:0.55,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,dumbbell,,supine,,false,true,neutral_to_pronated,free,medium,bilateral,open,true,3,lengthened,0.5|1.0|0.6,4,4,1,2,3,grip_orientation|elbow_path|rom,
smith_machine_bench_press,Press Banca en Smith,Smith Machine Bench Press,strength,chest,bench_press,horizontal_push,,0,pectoralis_major:1.0|triceps_brachii:0.75|deltoid_anterior:0.60,pectoralis_major.sternal:1.0|pectoralis_major.clavicular:0.55,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,smith_machine,,supine,,false,true,pronated,medium,medium,bilateral,open,true,2,mid,0.6|1.0|0.7,2,3,1,2,2,grip_width|bench_position,
machine_chest_press,Press de Pecho en Máquina,Machine Chest Press,strength,chest,machine_chest_press,horizontal_push,,0,pectoralis_major:1.0|triceps_brachii:0.75|deltoid_anterior:0.60,pectoralis_major.sternal:1.0|pectoralis_major.clavicular:0.55,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,selectorized_machine,,seated,,false,true,neutral_or_pronated,medium,medium,bilateral,open,true,3,balanced,0.8|1.0|0.8,1,3,1,1,1,seat_height|grip_orientation,
incline_barbell_bench_press,Press Inclinado con Barra,Incline Barbell Bench Press,strength,chest,incline_press,diagonal_push,,30,pectoralis_major:1.0|deltoid_anterior:0.80|triceps_brachii:0.70,pectoralis_major.clavicular:1.0|pectoralis_major.sternal:0.65,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,barbell,,incline_supine,30,false,true,pronated,medium,medium,bilateral,open,true,2,mid,0.7|1.0|0.7,3,4,1,2,3,bench_angle|grip_width,
incline_dumbbell_bench_press,Press Inclinado con Mancuernas,Incline Dumbbell Bench Press,strength,chest,incline_press,diagonal_push,,30,pectoralis_major:1.0|deltoid_anterior:0.80|triceps_brachii:0.70,pectoralis_major.clavicular:1.0|pectoralis_major.sternal:0.65,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,dumbbell,,incline_supine,30,false,true,neutral_to_pronated,free,medium,bilateral,open,true,3,lengthened,0.7|1.0|0.7,4,4,1,2,3,bench_angle|grip_orientation|elbow_path,
incline_smith_machine_press,Press Inclinado en Smith,Incline Smith Machine Press,strength,chest,incline_press,diagonal_push,,30,pectoralis_major:1.0|deltoid_anterior:0.80|triceps_brachii:0.70,pectoralis_major.clavicular:1.0|pectoralis_major.sternal:0.65,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,smith_machine,,incline_supine,30,false,true,pronated,medium,medium,bilateral,open,true,2,mid,0.7|1.0|0.7,2,3,1,2,2,bench_angle|grip_width,
incline_machine_chest_press,Press Inclinado en Máquina,Incline Machine Chest Press,strength,chest,incline_press,diagonal_push,,30,pectoralis_major:1.0|deltoid_anterior:0.80|triceps_brachii:0.70,pectoralis_major.clavicular:1.0|pectoralis_major.sternal:0.65,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,plate_loaded_machine,,incline_seated,30,false,true,neutral_or_pronated,medium,medium,bilateral,open,true,3,balanced,0.8|1.0|0.8,1,3,1,2,1,seat_height|grip_orientation,
decline_barbell_bench_press,Press Declinado con Barra,Decline Barbell Bench Press,strength,chest,decline_press,diagonal_push,,-15,pectoralis_major:1.0|triceps_brachii:0.75|deltoid_anterior:0.60,pectoralis_major.sternal:1.0|pectoralis_major.costal:0.85,shoulder:horizontal_adduction|elbow:extension|scapula:retraction_control,barbell,,decline_supine,-15,false,true,pronated,medium,medium,bilateral,open,true,2,mid,0.7|1.0|0.7,3,4,1,2,3,bench_angle|grip_width,
chest_biased_dip,Fondos con Sesgo a Pecho,Chest-Biased Dip,strength,chest,dip,dip_push,horizontal_push,-35,pectoralis_major:1.0|triceps_brachii:0.80|deltoid_anterior:0.60,pectoralis_major.sternal:1.0|pectoralis_major.costal:0.85,shoulder:extension_to_flexion|elbow:extension|scapula:depression,dip_station,,suspended,25,false,false,neutral,medium,medium,bilateral,closed,true,3,lengthened,0.8|1.0|0.9,4,4,1,3,4,torso_angle|elbow_path|external_load,
mid_cable_fly,Aperturas en Cable a Media Altura,Mid Cable Fly,strength,chest,chest_fly,horizontal_adduction,,0,pectoralis_major:1.0|deltoid_anterior:0.35,pectoralis_major.sternal:1.0,shoulder:horizontal_adduction|elbow:isometric_slight_flexion,cable,single_handles,standing,,false,false,neutral,neutral,fixed_slight_flexion,bilateral,open,false,3,lengthened,0.9|1.0|0.9,3,2,1,1,2,cable_height|torso_angle|stance,
low_to_high_cable_fly,Aperturas en Cable Bajo-Alto,Low-to-High Cable Fly,strength,chest,chest_fly,diagonal_adduction,,30,pectoralis_major:1.0|deltoid_anterior:0.35,pectoralis_major.clavicular:1.0|pectoralis_major.sternal:0.55,shoulder:horizontal_adduction|elbow:isometric_slight_flexion,cable,single_handles,standing,,false,false,neutral,neutral,fixed_slight_flexion,bilateral,open,false,3,lengthened,0.9|1.0|0.9,3,2,1,1,2,cable_height|torso_angle,
pec_deck_fly,Pec Deck,Pec Deck Fly,strength,chest,chest_fly,horizontal_adduction,,0,pectoralis_major:1.0|deltoid_anterior:0.35,pectoralis_major.sternal:1.0,shoulder:horizontal_adduction|elbow:isometric_slight_flexion,selectorized_machine,,seated,,false,true,neutral,neutral,fixed,bilateral,open,false,3,lengthened,0.8|1.0|0.9,1,2,1,1,1,seat_height|rom,
push_up,Flexiones de Brazos,Push-Up,strength,chest,push_up,horizontal_push,,0,pectoralis_major:1.0|triceps_brachii:0.75|deltoid_anterior:0.60,pectoralis_major.sternal:1.0,shoulder:horizontal_adduction|elbow:extension|scapula:protraction,bodyweight,,prone_plank,,false,false,neutral,medium,medium,bilateral,closed,true,2,mid,0.6|0.8|1.0,4,3,1,2,2,hand_width|elevation|external_load,
barbell_bent_over_row,Remo con Barra,Barbell Bent-Over Row,strength,back,horizontal_row,horizontal_pull,,0,latissimus_dorsi:0.85|trapezius_middle:1.0|rhomboids:0.95|deltoid_posterior:0.60|biceps_brachii:0.50,upper_back:1.0|latissimus_dorsi:0.80,shoulder:extension_or_horizontal_abduction|elbow:flexion|scapula:retraction,barbell,,bent_over,45,false,false,pronated,medium,medium,bilateral,open,true,2,mid,0.6|1.0|0.7,5,5,5,4,4,torso_angle|grip_width|elbow_path,
